avgpathtokenlen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
3.25,0.61,0.195,0.889,0.22,2.778,0.32,0.778,0.146,0.158,0.375,1,Defacement
5.625,0.732,0.028,0.167,0.169,4.333,0.039,0.75,0,0,-1,0.843,malware
3,0.574,0.5,3.091,0.162,3.546,0.872,0.727,0.088,0.171,0.261,0.895,malware
2.667,0.644,0.522,1.88,0.278,2.32,0.81,0.44,0.044,0.07,0.085,0.832,Defacement
3.5,0.734,0.453,2.9,0.156,4.7,0.617,0.7,0.063,0.108,0.138,0.94,malware
2.333,0.719,0.547,3.182,0.172,4.182,0.761,0.727,0.031,0.056,0.057,0.947,malware
4.714,0.549,0.028,0.08,0.352,1.56,0.051,0.6,0.042,0.231,-1,0.757,Defacement
4.375,0.869,0.02,0.333,0.061,14.333,0.023,0.667,0.091,0,-1,1,malware
3.667,0.45,0.1,0.267,0.375,1.2,0.222,0.533,0.025,0.059,0.25,0.77,Defacement
2.6,0.747,0.54,3.133,0.172,4.333,0.723,0.533,0.184,0.214,0.255,0.817,malware
3.2,0.711,0.434,2.2,0.197,3.6,0.611,0.733,0.092,0,0,0.77,malware
5.444,0.64,0.023,0.08,0.281,2.28,0.035,0.72,0,0,-1,0.774,malware
2,0.429,0.143,0.353,0.405,1.059,0.333,0.588,0.071,0.177,0.5,0.845,Defacement
3.1,0.708,0.139,0.714,0.194,3.643,0.196,0.571,0.125,0.167,0.4,0.723,malware
2.455,0.696,0.145,0.714,0.203,3.429,0.208,0.571,0.174,-1,0.4,0.723,malware
5.167,0.6,0.071,0.238,0.3,2,0.119,0.714,0.043,0.2,0.4,0.87,malware
23.5,0.789,0.016,0.105,0.155,5.105,0.021,0.79,0.187,0.13,-1,0.833,malware
3.2,0.731,0.462,2.571,0.18,4.071,0.632,0.571,0.051,0,0,0.723,malware
4.333,0.656,0.406,1.733,0.234,2.8,0.619,0.333,0.141,0.22,0.346,0.735,Defacement
5.417,0.784,0.021,0.143,0.144,5.429,0.026,0.643,0.309,0.56,-1,0.812,malware
3.8,0.59,0.051,0.222,0.231,2.556,0.087,0.667,0.18,0.444,-1,0.93,Defacement
2.333,0.761,0.62,4.4,0.141,5.4,0.815,0.7,0.169,0.226,0.273,0.88,malware
4.556,0.702,0.107,0.5,0.214,3.278,0.153,0.611,0.036,0.107,0.333,0.83,malware
3.778,0.662,0.031,0.133,0.231,2.867,0.047,0.8,0.123,0,-1,0.898,malware
2.25,0.818,0.734,5.381,0.136,6,0.897,0.714,0.033,0.041,0.044,0.797,Defacement
3.2,0.722,0.456,2.4,0.19,3.8,0.632,0.533,0.051,0,0,0.817,malware
3.1,0.708,0.139,0.714,0.194,3.643,0.196,0.571,0.125,0.167,0.4,0.723,malware
4.333,0.882,0.788,10.308,0.077,11.539,0.893,0.769,0.147,0.168,0.187,0.86,malware
5.375,0.704,0.028,0.143,0.197,3.571,0.04,0.786,0.056,0.182,-1,0.925,malware
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0,-1,0.892,malware
2.667,0.761,0.636,4,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
3.25,0.485,0.061,0.2,0.303,1.6,0.125,0.7,0.03,0,-1,1,Defacement
2.667,0.755,0.651,3.632,0.179,4.211,0.863,0.684,0.047,0.063,0.073,0.808,Defacement
2.667,0.674,0.547,2.238,0.244,2.762,0.81,0.524,0.047,0.07,0.085,0.775,Defacement
2.667,0.744,0.616,3.533,0.174,4.267,0.828,0.6,0.047,0.064,0.076,0.782,Defacement
3.667,0.511,0.2,0.6,0.333,1.533,0.391,0.333,0.067,0.136,0.333,0.735,Defacement
8,0.641,0.064,0.238,0.269,2.381,0.1,0.524,0,0,0,0.797,malware
4.75,0.692,0.031,0.154,0.2,3.462,0.044,0.846,0,0,-1,0.818,malware
2.667,0.656,0.533,2,0.267,2.458,0.814,0.5,0.056,0.086,0.104,0.816,Defacement
5.833,0.615,0.031,0.118,0.262,2.353,0.05,0.471,0.092,0.154,-1,0.816,malware
4.333,0.61,0.026,0.087,0.299,2.044,0.043,0.565,0.117,0.152,-1,0.844,Defacement
3.1,0.708,0.139,0.714,0.194,3.643,0.196,0.571,0.125,0.167,0.4,0.723,malware
2.667,0.778,0.656,4.539,0.144,5.385,0.843,0.769,0.044,0.058,0.068,0.86,Defacement
4.1,0.652,0.098,0.36,0.272,2.4,0.15,0.72,0.033,-1,0.333,0.774,malware
1,0.681,0.609,2.8,0.217,3.133,0.894,0.733,0.101,0,0,0.77,malware
4.25,0.455,0.046,0.118,0.386,1.177,0.1,0.471,0,0,-1,0.816,Defacement
5.556,0.734,0.025,0.143,0.177,4.143,0.035,0.5,0.367,-1,-1,0.925,malware
2.2,0.744,0.558,3.2,0.174,4.267,0.75,0.8,0.116,0.123,0.146,0.932,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.747,malware
3,0.603,0.035,0.125,0.276,2.188,0.057,0.5,0.276,0.483,-1,0.875,malware
